WageGrowth,Unemployment,Germany,DEUnemployment
10.2,.7,1,.7
9.1,.6,1,.6
6.1,.7,1,.7
8.2,.5,1,.5
9.5,.4,1,.4
7.6,.5,1,.5
3.3,1.4,1,1.4
6.7,1,1,1
9.5,.6,1,.6
16,.5,1,.5
11.4,.6,1,.6
9.6,.8,1,.8
11.9,.8,1,.8
11.4,1.8,1,1.8
7,3.3,1,3.3
7.7,3.3,1,3.3
6.6,3.2,1,3.2
5.5,3.1,1,3.1
5.8,2.7,1,2.7
6.8,2.7,1,2.7
4.8,3.9,1,3.9
4.2,5.6,1,5.6
3.6,6.9,1,6.9
3.4,7.1,1,7.1
2.9,7.2,1,7.2
3.6,6.6,1,6.6
3.2,6.4,1,6.4
3,6.3,1,6.3
2.9,5.6,1,5.6
4.7,4.8,1,4.8
5.9,4.2,1,4.2
10.5,6.4,1,6.4
4.1,7.7,1,7.7
3,8.2,1,8.2
3.6,8,1,8
1.3,8.7,1,8.7
.8,9.7,1,9.7
1,9.1,1,9.1
1.2,8.4,1,8.4
2,7.8,1,7.8
1.7,7.7,1,7.7
1.6,8.2,1,8.2
4.6,5.4,0,0
6.6,4.8,0,0
7.7,4.8,0,0
13.3,4.6,0,0
12.2,4.8,0,0
12.6,5,0,0
9.5,5.4,0,0
9.8,5.6,0,0
9.6,5.2,0,0
8.8,4.2,0,0
8,3.1,0,0
12.6,2.1,0,0
17.2,2,0,0
19.3,2.1,0,0
20.3,2.3,0,0
23.2,1.9,0,0
22,1.7,0,0
23.1,1.8,0,0
22.1,1.9,0,0
15.7,2.7,0,0
21.3,4,0,0
27.5,5.8,0,0
21.6,7.1,0,0
20.8,7.2,0,0
21,7,0,0
12,6.6,0,0
11.3,6.7,0,0
20.1,6.8,0,0
23.2,6.7,0,0
17.9,6.4,0,0
15.3,7.1,0,0
11.5,7.9,0,0
9.8,8.6,0,0
10.9,8.9,0,0
13,9.2,0,0
8.8,9.6,0,0
13.7,9.8,0,0
5.3,10.9,0,0
4.7,11.8,0,0
6,11,0,0
6,10.4,0,0
6.7,9.9,0,0
