WageGrowth,Unemployment,Spain,ESUnemployment
12.9,1.2,1,1.2
15.2,.3,1,.3
21.1,.6,1,.6
13.7,1.3,1,1.3
15.6,1,1,1
18.1,.5,1,.5
14.7,1.2,1,1.2
8.8,1.1,1,1.1
11.8,.5,1,.5
9.4,.5,1,.5
13.6,1.2,1,1.2
17.7,.6,1,.6
18.3,.2,1,.2
21.3,.6,1,.6
22.5,1.9,1,1.9
23.4,2.2,1,2.2
26.8,2.5,1,2.5
24.8,4.2,1,4.2
19,5.8,1,5.8
17.3,8.5,1,8.5
15.6,11.2,1,11.2
13.8,13,1,13
13.9,14.1,1,14.1
10.4,16.5,1,16.5
9.2,17.7,1,17.7
9.5,17.3,1,17.3
7.1,16.8,1,16.8
7.5,15.9,1,15.9
7.4,13.9,1,13.9
10.1,13.1,1,13.1
10.1,13.2,1,13.2
11.3,14.9,1,14.9
7.4,18.6,1,18.6
3.7,19.8,1,19.8
3.7,18.8,1,18.8
4.5,18.1,1,18.1
2.3,17,1,17
2.7,15.2,1,15.2
2.7,12.8,1,12.8
3.7,11.3,1,11.3
4.1,10.6,1,10.6
4,11.4,1,11.4
10.6,1.4,0,0
11.6,1.6,0,0
11.4,1.6,0,0
9.2,1.2,0,0
6.5,1.5,0,0
6,1.6,0,0
7,2.1,0,0
11.9,2.6,0,0
10.9,2.3,0,0
10.4,2.4,0,0
11.3,2.7,0,0
10.1,2.8,0,0
12.4,2.7,0,0
17.8,2.8,0,0
18.7,4,0,0
14.8,4.4,0,0
12.2,4.9,0,0
12.4,5.1,0,0
12.8,5.8,0,0
15.5,6.2,0,0
14,7.3,0,0
14.3,7.9,0,0
10.2,7.9,0,0
7.5,9.4,0,0
6.7,9.8,0,0
4.5,9.9,0,0
3.3,10.1,0,0
4.5,9.6,0,0
4,9.1,0,0
4.4,8.6,0,0
3.9,9.1,0,0
4.1,10,0,0
2.9,11.3,0,0
1.7,11.8,0,0
2.8,11.3,0,0
2.5,11.9,0,0
2.2,11.8,0,0
1.9,11.4,0,0
2.5,10.7,0,0
2.1,9.3,0,0
2.6,8.5,0,0
2.9,8.7,0,0
